Timestamp,Class,Confidence Score,FPS,Error,Delta Error
04,track,"tensor([0.9481], device='cuda:0')",0.00,-12.62,0.0
05,track,"tensor([0.9510], device='cuda:0')",0.80,-12.53,0.09
05,track,"tensor([0.9506], device='cuda:0')",3.60,-12.7,-0.17
06,track,"tensor([0.9495], device='cuda:0')",3.49,-12.63,0.07
06,track,"tensor([0.9499], device='cuda:0')",3.05,-11.63,1.0
06,track,"tensor([0.9502], device='cuda:0')",3.18,-11.71,-0.08
07,track,"tensor([0.9499], device='cuda:0')",2.75,-11.71,0.0
07,track,"tensor([0.9504], device='cuda:0')",2.72,-11.69,0.02
07,track,"tensor([0.9504], device='cuda:0')",3.14,-11.7,-0.01
08,track,"tensor([0.9501], device='cuda:0')",3.23,-11.73,-0.03
08,track,"tensor([0.9495], device='cuda:0')",3.28,-11.71,0.02
08,track,"tensor([0.9497], device='cuda:0')",3.17,-11.7,0.01
09,track,"tensor([0.9495], device='cuda:0')",3.88,-11.71,-0.01
09,track,"tensor([0.9505], device='cuda:0')",3.33,-11.87,-0.16
09,track,"tensor([0.9507], device='cuda:0')",2.87,-11.78,0.09
10,track,"tensor([0.9507], device='cuda:0')",3.06,-11.84,-0.06
10,track,"tensor([0.9512], device='cuda:0')",3.05,-11.91,-0.07
10,track,"tensor([0.9505], device='cuda:0')",2.97,-11.72,0.19
11,track,"tensor([0.9506], device='cuda:0')",3.01,-11.73,-0.01
11,track,"tensor([0.9508], device='cuda:0')",3.75,-11.72,0.01
11,track,"tensor([0.9503], device='cuda:0')",2.89,-11.72,0.0
11,track,"tensor([0.9501], device='cuda:0')",3.05,-11.72,0.0
12,track,"tensor([0.9509], device='cuda:0')",3.14,-11.75,-0.03
12,track,"tensor([0.9508], device='cuda:0')",2.96,-11.89,-0.14
12,track,"tensor([0.9506], device='cuda:0')",3.28,-11.69,0.2
13,track,"tensor([0.9508], device='cuda:0')",3.08,-11.72,-0.03
13,track,"tensor([0.9498], device='cuda:0')",4.24,-11.72,0.0
13,track,"tensor([0.9511], device='cuda:0')",3.36,-11.72,0.0
14,track,"tensor([0.9505], device='cuda:0')",2.84,-11.7,0.02
14,track,"tensor([0.9502], device='cuda:0')",3.66,-11.71,-0.01
14,track,"tensor([0.9505], device='cuda:0')",3.24,-11.9,-0.19
15,track,"tensor([0.9505], device='cuda:0')",2.94,-11.71,0.19
15,track,"tensor([0.9501], device='cuda:0')",3.26,-11.9,-0.19
15,track,"tensor([0.9500], device='cuda:0')",3.31,-11.71,0.19
16,track,"tensor([0.9501], device='cuda:0')",3.05,-11.7,0.01
16,track,"tensor([0.9498], device='cuda:0')",3.08,-11.7,0.0
16,track,"tensor([0.9497], device='cuda:0')",3.32,-11.72,-0.02
16,track,"tensor([0.9500], device='cuda:0')",3.69,-11.72,0.0
17,track,"tensor([0.9503], device='cuda:0')",2.83,-11.71,0.01
17,track,"tensor([0.9503], device='cuda:0')",2.96,-11.73,-0.02
17,track,"tensor([0.9512], device='cuda:0')",3.51,-11.69,0.04
18,track,"tensor([0.9505], device='cuda:0')",2.91,-11.7,-0.01
18,track,"tensor([0.9508], device='cuda:0')",3.34,-11.7,0.0
18,track,"tensor([0.9492], device='cuda:0')",2.67,-11.73,-0.03
