Timestamp,Class,Confidence Score,FPS,Error,Delta Error
49,track,"tensor([0.9478], device='cuda:0')",0.00,-19.13,0.0
50,track,"tensor([0.9505], device='cuda:0')",1.96,-21.95,-2.82
50,track,"tensor([0.9520], device='cuda:0')",2.99,-19.2,2.75
50,track,"tensor([0.9503], device='cuda:0')",2.81,-18.33,0.87
50,track,"tensor([0.9498], device='cuda:0')",3.69,-16.55,1.78
51,track,"tensor([0.9034], device='cuda:0')",4.45,-16.3,0.25
51,track,"tensor([0.9051], device='cuda:0')",2.96,-16.32,-0.02
51,track,"tensor([0.8977], device='cuda:0')",3.50,-16.31,0.01
52,track,"tensor([0.9005], device='cuda:0')",3.42,-16.27,0.04
52,track,"tensor([0.8985], device='cuda:0')",2.89,-16.27,0.0
52,track,"tensor([0.8961], device='cuda:0')",3.14,-16.29,-0.02
53,track,"tensor([0.8973], device='cuda:0')",3.51,-16.33,-0.04
53,track,"tensor([0.9079], device='cuda:0')",3.30,-16.32,0.01
53,track,"tensor([0.9387], device='cuda:0')",3.19,-15.36,0.96
54,track,"tensor([0.8976], device='cuda:0')",3.05,-33.31,-17.95
54,track,"tensor([0.9377], device='cuda:0')",3.19,-10.19,23.12
54,track,"tensor([0.9068], device='cuda:0')",3.47,-10.13,0.06
54,track,"tensor([0.8596], device='cuda:0')",3.84,-4.64,5.49
55,track,"tensor([0.9227], device='cuda:0')",2.86,-2.08,2.56
55,track,"tensor([0.9409], device='cuda:0')",3.22,1.56,3.64
55,track,"tensor([0.9003], device='cuda:0')",3.42,4.38,2.82
56,track,"tensor([0.9521], device='cuda:0')",3.28,3.56,-0.82
56,track,"tensor([0.7010], device='cuda:0')",3.23,4.07,0.51
56,track,"tensor([0.9310], device='cuda:0')",3.52,4.05,-0.02
57,track,"tensor([0.9527], device='cuda:0')",3.12,5.03,0.98
57,track,"tensor([0.9245], device='cuda:0')",3.24,6.69,1.66
57,track,"tensor([0.9494], device='cuda:0')",2.97,7.06,0.37
57,track,"tensor([0.9211], device='cuda:0')",3.87,5.75,-1.31
58,track,"tensor([0.9356], device='cuda:0')",3.22,9.0,3.25
58,track,"tensor([0.8760], device='cuda:0')",3.00,6.91,-2.09
58,track,"tensor([0.8261], device='cuda:0')",3.37,13.55,6.64
59,track,"tensor([0.9086], device='cuda:0')",3.50,17.78,4.23
59,track,"tensor([0.8101], device='cuda:0')",2.89,15.87,-1.91
59,track,"tensor([0.7455], device='cuda:0')",3.89,19.7,3.83
00,track,"tensor([0.7910], device='cuda:0')",2.76,20.17,0.47
00,track,"tensor([0.7647], device='cuda:0')",3.32,21.64,1.47
00,track,"tensor([0.7706], device='cuda:0')",2.87,23.07,1.43
01,track,"tensor([0.7722], device='cuda:0')",1.73,11.09,-11.98
01,track,"tensor([0.9171], device='cuda:0')",3.24,6.47,-4.62
01,track,"tensor([0.9331], device='cuda:0')",4.51,5.36,-1.11
02,track,"tensor([0.9360], device='cuda:0')",3.20,4.01,-1.35
02,track,"tensor([0.9403], device='cuda:0')",3.28,4.7,0.69
02,track,"tensor([0.9387], device='cuda:0')",2.90,2.66,-2.04
03,track,"tensor([0.9362], device='cuda:0')",4.83,-0.51,-3.17
03,track,"tensor([0.9445], device='cuda:0')",2.89,3.16,3.67
03,track,"tensor([0.9455], device='cuda:0')",3.52,1.26,-1.9
04,track,"tensor([0.9466], device='cuda:0')",2.94,-0.23,-1.49
04,track,"tensor([0.9390], device='cuda:0')",2.80,-0.58,-0.35
04,track,"tensor([0.9476], device='cuda:0')",3.52,-0.37,0.21
04,track,"tensor([0.9442], device='cuda:0')",3.73,-3.0,-2.63
05,track,"tensor([0.9290], device='cuda:0')",2.85,-3.65,-0.65
05,track,"tensor([0.9272], device='cuda:0')",3.22,-3.46,0.19
05,track,"tensor([0.9398], device='cuda:0')",3.54,-4.98,-1.52
06,track,"tensor([0.9211], device='cuda:0')",3.27,-5.31,-0.33
06,track,"tensor([0.9325], device='cuda:0')",3.34,-5.87,-0.56
06,track,"tensor([0.9475], device='cuda:0')",3.64,-8.16,-2.29
07,track,"tensor([0.9266], device='cuda:0')",3.48,-6.7,1.46
07,track,"tensor([0.9397], device='cuda:0')",3.21,-7.2,-0.5
07,track,"tensor([0.9443], device='cuda:0')",2.88,-6.58,0.62
08,track,"tensor([0.9529], device='cuda:0')",2.78,-5.77,0.81
08,track,"tensor([0.9520], device='cuda:0')",3.07,-7.68,-1.91
08,track,"tensor([0.9464], device='cuda:0')",3.81,-7.61,0.07
08,track,"tensor([0.9493], device='cuda:0')",3.94,-7.0,0.61
09,track,"tensor([0.9530], device='cuda:0')",2.85,-8.04,-1.04
09,track,"tensor([0.9506], device='cuda:0')",4.39,-9.86,-1.82
09,track,"tensor([0.9485], device='cuda:0')",3.41,-10.58,-0.72
10,track,"tensor([0.9547], device='cuda:0')",2.75,-10.62,-0.04
10,track,"tensor([0.9565], device='cuda:0')",3.83,-11.37,-0.75
10,track,"tensor([0.9554], device='cuda:0')",3.56,-10.13,1.24
11,track,"tensor([0.9407], device='cuda:0')",3.31,-10.25,-0.12
11,track,"tensor([0.9374], device='cuda:0')",3.20,-11.66,-1.41
11,track,"tensor([0.9359], device='cuda:0')",2.96,-13.09,-1.43
11,track,"tensor([0.9409], device='cuda:0')",3.51,-11.38,1.71
12,track,"tensor([0.9177], device='cuda:0')",3.63,-7.04,4.34
12,track,"tensor([0.9234], device='cuda:0')",3.30,-11.56,-4.52
12,track,"tensor([0.9380], device='cuda:0')",3.25,-10.17,1.39
13,track,"tensor([0.9015], device='cuda:0')",3.29,-5.39,4.78
13,track,"tensor([0.9083], device='cuda:0')",2.81,3.26,8.65
13,track,"tensor([0.8976], device='cuda:0')",3.26,12.89,9.63
14,track,"tensor([0.9177], device='cuda:0')",2.89,9.12,-3.77
14,track,"tensor([0.8975], device='cuda:0')",3.93,14.8,5.68
14,track,"tensor([0.9155], device='cuda:0')",2.93,15.36,0.56
15,track,"tensor([0.9176], device='cuda:0')",3.20,16.0,0.64
15,track,"tensor([0.9257], device='cuda:0')",3.41,17.93,1.93
15,track,"tensor([0.9073], device='cuda:0')",3.52,8.69,-9.24
15,track,"tensor([0.9253], device='cuda:0')",3.04,7.49,-1.2
16,track,"tensor([0.9299], device='cuda:0')",3.24,7.9,0.41
16,track,"tensor([0.9354], device='cuda:0')",3.31,4.26,-3.64
16,track,"tensor([0.9399], device='cuda:0')",2.77,-2.02,-6.28
17,track,"tensor([0.9287], device='cuda:0')",3.26,0.78,2.8
17,track,"tensor([0.9405], device='cuda:0')",3.22,-5.58,-6.36
17,track,"tensor([0.9331], device='cuda:0')",2.49,-1.89,3.69
18,track,"tensor([0.9462], device='cuda:0')",3.17,-7.75,-5.86
18,track,"tensor([0.9392], device='cuda:0')",2.84,-8.02,-0.27
18,track,"tensor([0.9368], device='cuda:0')",2.99,-9.95,-1.93
19,track,"tensor([0.9605], device='cuda:0')",3.10,-9.75,0.2
19,track,"tensor([0.9565], device='cuda:0')",3.70,-11.57,-1.82
19,track,"tensor([0.9509], device='cuda:0')",3.41,-11.05,0.52
20,track,"tensor([0.9511], device='cuda:0')",3.45,-14.17,-3.12
20,track,"tensor([0.9468], device='cuda:0')",3.82,-14.74,-0.57
20,track,"tensor([0.9435], device='cuda:0')",3.73,-14.6,0.14
20,track,"tensor([0.9486], device='cuda:0')",4.19,-16.84,-2.24
21,track,"tensor([0.9463], device='cuda:0')",3.43,-12.07,4.77
21,track,"tensor([0.9367], device='cuda:0')",3.43,-10.83,1.24
21,track,"tensor([0.8839], device='cuda:0')",3.01,-8.26,2.57
22,track,"tensor([0.9080], device='cuda:0')",3.30,-6.29,1.97
22,track,"tensor([0.9119], device='cuda:0')",3.66,-2.47,3.82
22,track,"tensor([0.8138], device='cuda:0')",3.46,-1.18,1.29
22,track,"tensor([0.8909], device='cuda:0')",4.48,0.11,1.29
23,track,"tensor([0.9073], device='cuda:0')",2.85,1.38,1.27
23,track,"tensor([0.8915], device='cuda:0')",3.07,1.29,-0.09
23,track,"tensor([0.9297], device='cuda:0')",2.86,2.97,1.68
24,track,"tensor([0.9343], device='cuda:0')",2.82,3.87,0.9
24,track,"tensor([0.9155], device='cuda:0')",3.13,5.27,1.4
24,track,"tensor([0.9275], device='cuda:0')",3.66,5.98,0.71
25,track,"tensor([0.9402], device='cuda:0')",3.56,6.32,0.34
25,track,"tensor([0.9268], device='cuda:0')",3.61,7.72,1.4
25,track,"tensor([0.9274], device='cuda:0')",3.50,7.0,-0.72
25,track,"tensor([0.8413], device='cuda:0')",4.69,8.9,1.9
26,track,"tensor([0.9318], device='cuda:0')",3.25,8.43,-0.47
26,track,"tensor([0.9398], device='cuda:0')",3.49,13.05,4.62
26,track,"tensor([0.8590], device='cuda:0')",4.67,13.88,0.83
27,track,"tensor([0.8779], device='cuda:0')",3.67,16.05,2.17
27,track,"tensor([0.8926], device='cuda:0')",3.01,23.11,7.06
27,track,"tensor([0.7886], device='cuda:0')",2.53,28.97,5.86
28,track,"tensor([0.8292], device='cuda:0')",2.80,33.02,4.05
28,track,"tensor([0.8767], device='cuda:0')",4.08,32.42,-0.6
28,track,"tensor([0.9263], device='cuda:0')",3.58,26.53,-5.89
28,track,"tensor([0.9038], device='cuda:0')",4.86,21.66,-4.87
29,track,"tensor([0.9184], device='cuda:0')",3.57,15.42,-6.24
29,track,"tensor([0.9442], device='cuda:0')",3.19,3.77,-11.65
29,track,"tensor([0.9302], device='cuda:0')",3.07,-2.25,-6.02
30,track,"tensor([0.9583], device='cuda:0')",3.11,-4.93,-2.68
30,track,"tensor([0.9583], device='cuda:0')",3.52,-7.27,-2.34
30,track,"tensor([0.9300], device='cuda:0')",3.08,-12.1,-4.83
30,track,"tensor([0.9567], device='cuda:0')",3.29,-11.82,0.28
31,track,"tensor([0.9387], device='cuda:0')",3.75,-0.36,11.46
31,track,"tensor([0.9351], device='cuda:0')",3.08,10.22,10.58
31,track,"tensor([0.9372], device='cuda:0')",2.61,13.1,2.88
